shipment_id,date,importer_id,exporter_id,origin_country,destination_country,hs_code,transport_mode,weight_kg,declared_value_usd,market_value_usd,under_valuation_pct,past_violations,doc_anomaly_score,network_risk_score,odd_route_flag,offhour_flag,risk_score,risk_label
SHP000001,2022-10-13,IMP2679,EXP9935,NGA,GBR,620342,Sea,1032.49,9382.09,31273.62,0.6999998720966745,0,0.16,0.19,0,0,37.69999424435035,0
SHP000002,2023-03-24,IMP4811,EXP9279,UAE,NGA,100630,Sea,441.72,1270.4,4234.67,0.7000002361459099,0,0.094,0.32,0,1,45.31001062656594,0
SHP000003,2025-01-21,IMP7873,EXP4611,BRA,GBR,490199,Air,702.89,3494.48,11648.27,0.7000000858496584,0,0.136,0.536,0,0,44.26000386323463,0
SHP000004,2022-11-23,IMP7924,EXP6574,DEU,GBR,070310,Air,225.42,11662.51,38875.03,0.6999999742765471,0,0.078,0.253,0,0,37.72999884244462,0
SHP000005,2024-02-18,IMP2584,EXP6881,ZAF,NGA,720839,Sea,1928.18,2819.23,9397.43,0.6999998935879277,0,0.405,0.094,0,0,39.45499521145675,0
SHP000006,2025-01-03,IMP3045,EXP7201,DEU,USA,100630,Air,761.98,6822.77,19365.42,0.6476828284643452,0,0.037,0.314,0,0,35.980727280895536,0
SHP000007,2024-01-11,IMP4150,EXP2139,DEU,NGA,940350,Air,2020.62,2898.27,9660.91,0.7000003105297534,0,0.336,0.233,0,1,47.20001397383891,0
SHP000008,2023-04-22,IMP2654,EXP7227,ZAF,NGA,640399,Land,634.8,6027.68,20092.25,0.6999997511478306,1,0.371,0.468,0,0,54.424988801652376,0
SHP000009,2023-03-06,IMP5374,EXP2169,NLD,NGA,420222,Sea,650.27,8316.87,21114.07,0.6060982084458373,0,0.219,0.088,0,0,32.319419380062676,0
SHP000010,2022-12-01,IMP8573,EXP7216,CHN,GBR,870899,Air,1674.29,14849.09,33916.57,0.5621877448102801,0,0.325,0.53,0,0,40.77344851646261,0
SHP000011,2022-04-25,IMP4752,EXP1525,BRA,NGA,610910,Sea,1248.26,2964.86,9882.88,0.7000004047403185,0,0.194,0.03,0,1,41.01001821331433,0
SHP000012,2025-03-07,IMP6155,EXP4483,UAE,USA,620342,Sea,1575.82,7517.27,25057.57,0.7000000399080997,0,0.285,0.503,0,0,45.835001795864486,0
SHP000013,2022-10-13,IMP5040,EXP9830,UAE,USA,851712,Sea,899.02,14279.12,47597.05,0.6999998949514729,0,0.305,0.655,0,0,49.17499527281628,0
SHP000014,2023-03-26,IMP3266,EXP9348,UAE,NGA,880220,Sea,1446.47,2288.64,7628.79,0.6999996067528402,1,0.103,0.133,0,0,43.70498230387781,0
SHP000015,2022-11-24,IMP7916,EXP2040,NGA,GBR,300490,Sea,833.56,2708.21,9027.37,0.7000001107742344,0,0.055,0.268,0,0,37.685004984840546,0
